0x96f	false	#00cde8	#b3e03a	#fcfcfa	#262427	#00cde8	#545452	#545452	#ff666d	#ffc739	#a392e8	#262427	#333133	#2c2a2d
12-bit-rainbow	false	#3060b0	#40d080	#feffff	#040404	#3060b0	#685656	#685656	#a03050	#e09040	#603090	#040404	#131313	#0b0b0b
3024-day	true	#01a0e4	#01a252	#4a4543	#f7f7f7	#01a0e4	#5c5855	#5c5855	#db2d20	#caba00	#a16a94	#f7f7f7	#e8e8e8	#efefef
3024-night	false	#01a0e4	#01a252	#a5a2a2	#090300	#01a0e4	#5c5855	#5c5855	#db2d20	#fded02	#a16a94	#090300	#17120f	#100a07
aardvark-blue	false	#1370d3	#4b8c0f	#dddddd	#102040	#1370d3	#525252	#525252	#aa342e	#dbba00	#c43ac3	#102040	#1e2d4b	#172645
abernathy	false	#1093f5	#00cd00	#eeeeec	#111416	#1093f5	#404040	#404040	#cd0000	#cdcd00	#cd00cd	#111416	#1f2223	#181b1c
adventure	false	#417ab3	#5da602	#feffff	#040404	#417ab3	#685656	#685656	#d84a33	#eebb6e	#e5c499	#040404	#131313	#0b0b0b
adventure-time	false	#0f4ac6	#4ab118	#f8dcc0	#1f1d45	#0f4ac6	#4e7cbf	#4e7cbf	#bd0013	#e7741e	#665993	#1f1d45	#2c2a50	#25234a
adwaita	true	#1e78e4	#2ec27e	#000000	#ffffff	#1e78e4	#5e5c64	#5e5c64	#c01c28	#e8b504	#9841bb	#ffffff	#efefef	#f7f7f7
adwaita-dark	false	#1e78e4	#2ec27e	#ffffff	#1d1d20	#1e78e4	#5e5c64	#5e5c64	#c01c28	#f5c211	#9841bb	#1d1d20	#2a2a2d	#232326
afterglow	false	#6c99bb	#7e8e50	#d0d0d0	#212121	#6c99bb	#505050	#505050	#ac4142	#e5b567	#9f4e85	#212121	#2e2e2e	#272727
aizen-dark	false	#84b4f8	#a4e09c	#d0d6f0	#1a1a1a	#84b4f8	#444444	#444444	#f08898	#f5dea4	#c8a2f4	#1a1a1a	#272727	#202020
aizen-light	true	#1c64f2	#3e9e28	#4a4d66	#f0f2f6	#1c64f2	#adb2bc	#adb2bc	#d00c36	#dd8c1a	#8636ec	#f0f2f6	#e1e3e7	#e8eaee
alabaster	true	#325cc0	#448c27	#000000	#f7f7f7	#325cc0	#777777	#777777	#aa3731	#cb9000	#7a3e9d	#f7f7f7	#e8e8e8	#efefef
alien-blood	false	#2f6a7f	#2f7e25	#637d75	#0f1610	#2f6a7f	#3c4812	#3c4812	#7f2b27	#717f24	#47587f	#0f1610	#1d231e	#161c17
andromeda	false	#2472c8	#05bc79	#e5e5e5	#262a33	#2472c8	#666666	#666666	#cd3131	#e5e512	#bc3fbc	#262a33	#33363f	#2c3039
apple-classic	false	#1c3fe1	#00c200	#d5a200	#2c2b2b	#1c3fe1	#686868	#686868	#c91b00	#c7c400	#ca30c7	#2c2b2b	#383737	#323131
apple-system-colors	false	#0869cb	#26a439	#ffffff	#1e1e1e	#0869cb	#464646	#464646	#cc372e	#cdac08	#9647bf	#1e1e1e	#2b2b2b	#242424
apple-system-colors-light	true	#0869cb	#26a439	#000000	#feffff	#0869cb	#464646	#464646	#cc372e	#cdac08	#9647bf	#feffff	#eeefef	#f6f7f7
arcoiris	false	#518bfc	#12c258	#eee4d9	#201f1e	#518bfc	#777777	#777777	#da2700	#ffc656	#e37bd9	#201f1e	#2d2c2b	#262524
ardoise	false	#2465c2	#588b35	#eaeaea	#1e1e1e	#2465c2	#535353	#535353	#d3322d	#fca93a	#7332b4	#1e1e1e	#2b2b2b	#242424
argonaut	false	#008df8	#8ce10b	#fffaf4	#0e1019	#008df8	#444444	#444444	#ff000f	#ffb900	#6d43a6	#0e1019	#1c1e26	#15171f
arthur	false	#6495ed	#86af80	#ddeedd	#1c1c1c	#6495ed	#554444	#554444	#cd5c5c	#e8ae5b	#deb887	#1c1c1c	#292929	#222222
